modelKey,model,scenario,arm,ok,errored,turns,toolCalls,toolErrors,mcpRoundTrips,servicesTouched,tokensIn,tokensOut,peakContextTokens,compactions,toolsInContext,wallMs,costUsd
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","count-open-prs","lisp",true,false,2,1,0,1,1,4031,34,2040,0,2,3032,0.000208
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","sentry-billing-unresolved","lisp",true,false,2,1,0,1,1,4137,147,2143,0,2,1848,0.000235
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","merged-prs-open-linear","lisp",false,false,3,2,1,17,2,6649,633,2426,0,2,6325,0.000453
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","busiest-assignee","lisp",true,false,29,27,26,25,1,109235,3530,6251,1,2,55732,0.006132
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","high-urgency-triggered","lisp",true,false,3,2,0,2,1,6189,132,2136,0,2,2364,0.000335
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","email-top-error","lisp",true,false,6,5,4,2,2,14056,561,2749,0,2,8269,0.000809
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","compose-verify-issues","lisp",true,false,3,2,1,18,1,6946,361,2658,0,2,6092,0.000416
"qwen8b","qwen/qwen3-8b","count-open-prs","lisp",true,false,2,1,0,1,1,4031,596,2040,0,2,13382,0.000752
"qwen8b","qwen/qwen3-8b","sentry-billing-unresolved","lisp",true,false,3,2,0,2,1,6200,5013,2158,0,2,90925,0.003000
"qwen8b","qwen/qwen3-8b","merged-prs-open-linear","lisp",false,true,1,1,1,0,0,2004,3959,2004,0,2,77690,0.002022
"qwen8b","qwen/qwen3-8b","busiest-assignee","lisp",false,true,4,4,4,4,1,8776,8190,2398,0,2,180016,0.004739
"qwen8b","qwen/qwen3-8b","high-urgency-triggered","lisp",true,false,2,1,0,1,1,4097,2094,2099,0,2,36300,0.001434
"qwen8b","qwen/qwen3-8b","email-top-error","lisp",false,false,2,1,0,1,1,4214,1386,2198,0,2,25767,0.001129
"qwen8b","qwen/qwen3-8b","compose-verify-issues","lisp",true,false,3,2,1,17,1,6559,2171,2335,0,2,41759,0.001764
"deepseek","deepseek/deepseek-v3.2","count-open-prs","lisp",true,false,2,1,0,1,1,4508,87,2298,0,2,6902,0.001062
"deepseek","deepseek/deepseek-v3.2","sentry-billing-unresolved","lisp",true,false,2,1,0,1,1,4436,166,2438,0,2,12624,0.001073
"deepseek","deepseek/deepseek-v3.2","merged-prs-open-linear","lisp",true,false,7,6,0,2,2,21503,1140,3930,0,2,50499,0.005315
"deepseek","deepseek/deepseek-v3.2","busiest-assignee","lisp",true,false,6,5,0,1,1,16354,483,3092,0,2,22358,0.003911
"deepseek","deepseek/deepseek-v3.2","high-urgency-triggered","lisp",true,false,2,1,0,1,1,4686,218,2469,0,2,11716,0.001148
"deepseek","deepseek/deepseek-v3.2","email-top-error","lisp",true,false,5,4,1,3,2,14335,1109,3436,0,2,21774,0.003663
"deepseek","deepseek/deepseek-v3.2","compose-verify-issues","lisp",true,false,8,7,1,16,1,24441,786,4473,0,2,21039,0.005867
